create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2021-01-01 00:00:00,BTCUSDT,34935.88100000,1011332738.14749436,1.59041180,1.22061180,1.60088917,0.44027971
2021-01-01 00:05:00,BTCUSDT,35077.18100000,1017238249.00000000,1.53805533,1.20021787,1.59844358,2.03426671
2021-01-01 00:10:00,BTCUSDT,35053.90200000,1012448180.44422000,1.52992234,1.20027916,1.58820799,0.42345487
2021-01-01 00:15:00,BTCUSDT,34900.67600000,1004394978.02708536,1.52915519,1.20249990,1.57888189,0.51812789
2021-01-01 00:20:00,BTCUSDT,34878.03500000,1006207243.90585000,1.54909843,1.20264110,1.59891008,1.60858454
2021-01-01 00:25:00,BTCUSDT,34925.61300000,1008098229.05898647,1.54519451,1.20247034,1.59365793,0.75834520
2021-01-01 00:30:00,BTCUSDT,35012.15700000,1010425642.26696000,1.54134308,1.20197628,1.58587418,1.24700292
2021-01-01 00:35:00,BTCUSDT,35047.73700000,1012879599.30000000,1.53815444,1.20169620,1.58631343,1.49071592
2021-01-01 00:40:00,BTCUSDT,35039.91000000,1013321960.48280000,1.55184292,1.20202176,1.59494064,0.92818697
2021-01-01 00:45:00,BTCUSDT,34991.25900000,1012913318.94099000,1.54968481,1.20235085,1.59063467,1.21994324
2021-01-01 00:50:00,BTCUSDT,34932.65700000,1011753147.38472000,1.55413793,1.20224429,1.59604037,0.81696324
2021-01-01 00:55:00,BTCUSDT,34973.48200000,1013296964.96741710,1.54337847,1.20186349,1.59225035,2.67747663
2021-01-01 01:00:00,BTCUSDT,34913.88400000,1013023082.71563373,1.55006906,1.20224069,1.59786754,1.43216502
2021-01-01 01:05:00,BTCUSDT,34905.92900000,1014903463.36092263,1.54568470,1.20247641,1.59648167,1.60042525
2021-01-01 01:10:00,BTCUSDT,35061.90900000,1021637638.51076516,1.52510006,1.19986047,1.58473852,1.00883977
2021-01-01 01:15:00,BTCUSDT,35374.37300000,1040079491.28319634,1.53004495,1.20063635,1.61710280,1.83456516
2021-01-01 01:20:00,BTCUSDT,35473.06800000,1039539337.07052650,1.51303027,1.20326197,1.58886218,0.54084220
2021-01-01 01:25:00,BTCUSDT,35563.96500000,1044314806.65596695,1.50984504,1.20406071,1.58111766,0.92594190
