create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-01-01 00:00:00,BTCUSDT,91253.3360000000000000,8545728911.0624000000000000,1.81386532,2.11153700,1.82734775,0.76737900
2025-01-01 00:05:00,BTCUSDT,91236.2020000000000000,8538844785.0760145000000000,1.81726583,2.11077700,1.83308463,0.98413300
2025-01-01 00:10:00,BTCUSDT,91336.3160000000000000,8552121893.8467730000000000,1.82210041,2.10167100,1.83722088,0.41624400
2025-01-01 00:15:00,BTCUSDT,91308.0360000000000000,8562958924.1160000000000000,1.83221917,2.10174100,1.85185827,1.53562700
2025-01-01 00:20:00,BTCUSDT,91299.1120000000000000,8556001772.9009905000000000,1.83508893,2.09934100,1.85867952,1.09561500
2025-01-01 00:25:00,BTCUSDT,91313.2340000000000000,8560013020.1556000000000000,1.83761806,2.09890000,1.86069287,1.43519600
2025-01-01 00:30:00,BTCUSDT,91327.1500000000000000,8572678650.7700000000000000,1.84441239,2.09919800,1.87250194,1.12646100
2025-01-01 00:35:00,BTCUSDT,91272.0590000000000000,8569935216.5696000000000000,1.85360728,2.10385500,1.88461986,1.94982900
2025-01-01 00:40:00,BTCUSDT,91239.6620000000000000,8564149597.4616810000000000,1.85757338,2.10440800,1.88975508,1.28187700
2025-01-01 00:45:00,BTCUSDT,91240.1450000000000000,8572691623.2560760000000000,1.86156603,2.10126500,1.89695851,1.21188000
2025-01-01 00:50:00,BTCUSDT,91081.7860000000000000,8582811177.1216840000000000,1.87315392,2.10359100,1.91938082,2.51297200
2025-01-01 00:55:00,BTCUSDT,90934.0030000000000000,8580859885.4908000000000000,1.87776085,2.10353700,1.93327923,1.39877800
2025-01-01 01:00:00,BTCUSDT,90848.2210000000000000,8547709247.8038000000000000,1.87461939,2.10702600,1.92337142,0.51411000
2025-01-01 01:05:00,BTCUSDT,90786.1150000000000000,8537262974.8665000000000000,1.88559066,2.11079500,1.93393352,0.56115300
2025-01-01 01:10:00,BTCUSDT,90813.4350000000000000,8547454287.8924340000000000,1.88493830,2.10906900,1.93575259,1.90685200
2025-01-01 01:15:00,BTCUSDT,90884.6880000000000000,8539448223.2885170000000000,1.88081552,2.10048800,1.93069659,0.29946500
2025-01-01 01:20:00,BTCUSDT,90884.7430000000000000,8531977930.1367000000000000,1.88103027,2.09850400,1.93011082,0.45326900
2025-01-01 01:25:00,BTCUSDT,90902.6410000000000000,8527117448.2421970000000000,1.87925019,2.09814600,1.92765001,0.42399900
2025-01-01 01:30:00,BTCUSDT,90904.4050000000000000,8541150632.7875000000000000,1.88350470,2.09853200,1.93328729,1.21860000
2025-01-01 01:35:00,BTCUSDT,90909.0750000000000000,8535561731.2927990000000000,1.88626119,2.09647500,1.93702124,0.53742900
2025-01-01 01:40:00,BTCUSDT,90927.5130000000000000,8537859087.3007400000000000,1.88704456,2.09606000,1.93845607,0.52077000
2025-01-01 01:45:00,BTCUSDT,90924.0710000000000000,8531378304.7087000000000000,1.88692479,2.09567600,1.93686620,0.63059500
2025-01-01 01:50:00,BTCUSDT,90899.7920000000000000,8508456870.6592000000000000,1.89087730,2.09702900,1.93501855,0.45884600
2025-01-01 01:55:00,BTCUSDT,90931.8130000000000000,8510126515.0440000000000000,1.89236442,2.09621300,1.93775287,1.18942900
2025-01-01 02:00:00,BTCUSDT,90961.1760000000000000,8525899831.5289970000000000,1.89512335,2.09465000,1.94368506,1.53976600
2025-01-01 02:05:00,BTCUSDT,90979.7310000000000000,8521698385.8729000000000000,1.90511817,2.08132200,1.93489851,0.65792700
2025-01-01 02:10:00,BTCUSDT,90954.1710000000000000,8528590706.3280000000000000,1.90551748,2.08242300,1.93650543,1.69899200
2025-01-01 02:15:00,BTCUSDT,90971.9950000000000000,8527430217.9950695000000000,1.90637419,2.08050100,1.93741241,0.90913200
2025-01-01 02:20:00,BTCUSDT,90970.9690000000000000,8523182639.2803760000000000,1.90892868,2.08166700,1.93855961,1.29191400
2025-01-01 02:25:00,BTCUSDT,90976.1080000000000000,8525862351.6632000000000000,1.90781074,2.08129700,1.93805484,1.85144200
2025-01-01 02:30:00,BTCUSDT,90995.3420000000000000,8531932555.2066000000000000,1.90959179,2.08188300,1.94065639,1.78120400
2025-01-01 02:35:00,BTCUSDT,90983.0010000000000000,8540428731.0684000000000000,1.91493431,2.08323800,1.94743607,2.28825000
2025-01-01 02:40:00,BTCUSDT,91000.8930000000000000,8544805454.8078050000000000,1.91527124,2.08424400,1.94938186,1.83096100
2025-01-01 02:45:00,BTCUSDT,91016.6270000000000000,8547649095.2139800000000000,1.91690185,2.08270700,1.95299915,1.20594800
2025-01-01 02:50:00,BTCUSDT,91031.5720000000000000,8557864408.9481510000000000,1.91540947,2.08139400,1.95476799,1.69521000
2025-01-01 02:55:00,BTCUSDT,91042.8450000000000000,8563890589.2180000000000000,1.91397142,2.07970200,1.95323421,1.12747800
2025-01-01 03:00:00,BTCUSDT,91011.9310000000000000,8551111458.6086420000000000,1.91249452,2.07748300,1.95115340,0.31903600
2025-01-01 03:05:00,BTCUSDT,91010.2100000000000000,8549659073.6485040000000000,1.90930138,2.07778300,1.94587659,1.28471300
2025-01-01 03:10:00,BTCUSDT,91010.8880000000000000,8549496261.3600140000000000,1.90838024,2.07735400,1.94542656,0.46203100
2025-01-01 03:15:00,BTCUSDT,91070.9960000000000000,8544481543.2352340000000000,1.90899706,2.07590400,1.94277601,0.31518800
