create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2024-01-01 00:00:00,BTCUSDT,74006.26600000,3131493738.89740000,1.36820310,1.25366800,1.50710938,1.31174499
2024-01-01 00:05:00,BTCUSDT,73839.81100000,3133154733.16132700,1.36197224,1.26060333,1.50756624,2.83721422
2024-01-01 00:10:00,BTCUSDT,73898.86800000,3136770470.22240000,1.35592249,1.26136402,1.50265905,1.21769735
2024-01-01 00:15:00,BTCUSDT,74002.81200000,3147195037.73917700,1.35328676,1.26272645,1.49959307,1.52001899
2024-01-01 00:20:00,BTCUSDT,73884.23700000,3139644155.50170000,1.34304300,1.26197341,1.48568428,1.05620653
2024-01-01 00:25:00,BTCUSDT,73823.65200000,3138199152.32880000,1.34211842,1.26034999,1.48240272,0.90371102
2024-01-01 00:30:00,BTCUSDT,73872.46500000,3136470390.02689080,1.34012343,1.26097365,1.47833037,0.60522776
2024-01-01 00:35:00,BTCUSDT,73766.89700000,3127607404.54135400,1.34219079,1.25976126,1.47791331,0.50462437
2024-01-01 00:40:00,BTCUSDT,73720.68100000,3131135937.87366150,1.33822325,1.25912485,1.47585664,1.92845469
2024-01-01 00:45:00,BTCUSDT,73725.01600000,3131397802.25446500,1.33849495,1.26122207,1.47332652,0.84689217
2024-01-01 00:50:00,BTCUSDT,73687.47600000,3128224943.63760000,1.33951716,1.26100824,1.47424037,0.86500350
2024-01-01 00:55:00,BTCUSDT,73695.73200000,3131503297.61869700,1.33857595,1.26066648,1.47345593,1.30374857
2024-01-01 01:00:00,BTCUSDT,73688.61800000,3132024175.16300000,1.34198424,1.26008197,1.47596305,1.09933230
2024-01-01 01:05:00,BTCUSDT,73703.29600000,3129795723.98080000,1.34025576,1.25960602,1.47389811,0.65536762
2024-01-01 01:10:00,BTCUSDT,73699.61900000,3130088493.13069440,1.33895771,1.26002199,1.47254794,0.77699213
2024-01-01 01:15:00,BTCUSDT,73666.17100000,3130628102.07250000,1.33921960,1.26112040,1.47357684,0.94701740
2024-01-01 01:20:00,BTCUSDT,73693.45800000,3134374371.73080000,1.33580923,1.26067857,1.47166262,2.17844121
2024-01-01 01:25:00,BTCUSDT,73624.79800000,3129981746.97544100,1.33738796,1.26105311,1.47278965,1.06166610
2024-01-01 01:30:00,BTCUSDT,73609.56500000,3130232029.71200000,1.33963406,1.26011179,1.47599341,0.88659939
2024-01-01 01:35:00,BTCUSDT,73588.57700000,3134740920.76140000,1.35158190,1.25992950,1.48561258,1.99026300
2024-01-01 01:40:00,BTCUSDT,73664.37700000,3149880809.99156140,1.33059511,1.26546168,1.46975850,1.52296641
2024-01-01 01:45:00,BTCUSDT,73882.02300000,3157296535.48890000,1.32798599,1.26235581,1.46673763,1.11978440
2024-01-01 01:50:00,BTCUSDT,73991.37300000,3162006526.88040000,1.32460080,1.26063748,1.46127397,1.20001193
2024-01-01 01:55:00,BTCUSDT,73984.10500000,3159121283.50000000,1.32413474,1.26137819,1.45760320,0.54042368
2024-01-01 02:00:00,BTCUSDT,73863.40700000,3150119195.39530000,1.33052421,1.25895504,1.46121223,0.24834140
2024-01-01 02:05:00,BTCUSDT,73837.93800000,3145248699.85343300,1.33379853,1.25924214,1.46188623,0.45844835
2024-01-01 02:10:00,BTCUSDT,73828.54800000,3143826293.77440000,1.33276086,1.25897219,1.46408688,1.06682170
2024-01-01 02:15:00,BTCUSDT,73825.25700000,3144404040.78870100,1.33359038,1.25870128,1.46451397,1.11975788
2024-01-01 02:20:00,BTCUSDT,73785.34600000,3141312938.47178940,1.33630399,1.25881557,1.46609753,0.56365851
2024-01-01 02:25:00,BTCUSDT,73765.56800000,3141292203.69752170,1.33624500,1.25749821,1.46748519,1.44294803
2024-01-01 02:30:00,BTCUSDT,73735.42500000,3139322587.08750000,1.33752194,1.25703180,1.46836813,0.83070160
2024-01-01 02:35:00,BTCUSDT,73721.40600000,3143901231.29039570,1.33715991,1.25594541,1.47030561,2.06374608
2024-01-01 02:40:00,BTCUSDT,73710.59500000,3140823195.06900000,1.33780556,1.25581843,1.47077008,0.80492007
2024-01-01 02:45:00,BTCUSDT,73715.80000000,3138357813.35203030,1.33694965,1.25429692,1.46927088,0.53184297
2024-01-01 02:50:00,BTCUSDT,73677.40100000,3134656599.72570000,1.33569549,1.25461920,1.46645568,0.41460492
2024-01-01 02:55:00,BTCUSDT,73698.35500000,3140014222.63650000,1.33338005,1.25419795,1.46438316,1.54008261
2024-01-01 03:00:00,BTCUSDT,73713.64000000,3141712193.62000000,1.33345011,1.25431520,1.46528473,1.31442595
2024-01-01 03:05:00,BTCUSDT,73741.94000000,3140742966.54000000,1.33458357,1.25472126,1.46756104,0.42619917
2024-01-01 03:10:00,BTCUSDT,73746.82800000,3139822824.87960000,1.33333333,1.25513964,1.46490643,0.75200239
2024-01-01 03:15:00,BTCUSDT,73680.93200000,3134696307.19440000,1.33497105,1.25424076,1.46292444,0.37223152
2024-01-01 03:20:00,BTCUSDT,73564.94900000,3126578786.77208230,1.33717579,1.25175898,1.46190392,0.59321380
2024-01-01 03:25:00,BTCUSDT,73556.14400000,3124069192.35360000,1.33855943,1.25129615,1.46331940,0.81998095
2024-01-01 03:30:00,BTCUSDT,73558.02700000,3123639449.60393330,1.33850156,1.25054029,1.46233058,0.70306103
2024-01-01 03:35:00,BTCUSDT,73587.71300000,3123746905.45090000,1.33712880,1.24971050,1.46190952,1.08798465
2024-01-01 03:40:00,BTCUSDT,73558.98200000,3120343848.36367400,1.33874032,1.24989022,1.45991172,0.73397554
2024-01-01 03:45:00,BTCUSDT,73325.25200000,3103989902.61360000,1.35019510,1.25095842,1.46826103,0.56756625
2024-01-01 03:50:00,BTCUSDT,73426.32400000,3111517455.60127740,1.34910173,1.25076238,1.47331814,1.47647312
2024-01-01 03:55:00,BTCUSDT,73438.15200000,3110103235.05934800,1.35177501,1.25289510,1.47664386,0.83042804
2024-01-01 04:00:00,BTCUSDT,73471.13300000,3112805042.27855630,1.35807394,1.25161907,1.48526100,1.68300746
2024-01-01 04:05:00,BTCUSDT,73471.27800000,3114667888.25400000,1.36056750,1.25148280,1.49031743,1.25559074
2024-01-01 04:10:00,BTCUSDT,73431.75400000,3112390206.93920000,1.36327944,1.25146590,1.49538111,1.55120325
2024-01-01 04:15:00,BTCUSDT,73373.60600000,3105111003.61545700,1.36756776,1.25298260,1.49407186,0.40445944
2024-01-01 04:20:00,BTCUSDT,73428.76000000,3106227462.77600000,1.36702488,1.25220224,1.49164640,0.69619581
2024-01-01 04:25:00,BTCUSDT,73426.97800000,3109570247.79647800,1.35649762,1.25282071,1.48422644,0.85752081
2024-01-01 04:30:00,BTCUSDT,73513.45500000,3112448718.74646470,1.35634269,1.25175177,1.48521663,1.20124297
2024-01-01 04:35:00,BTCUSDT,73621.42500000,3118389944.69215540,1.35908298,1.25362967,1.48901624,0.93814203
2024-01-01 04:40:00,BTCUSDT,73636.70300000,3120111990.56363600,1.36153079,1.25400151,1.49249094,2.50929617
2024-01-01 04:45:00,BTCUSDT,73691.20100000,3120478036.29369260,1.36575445,1.25427597,1.49719779,0.85725943
2024-01-01 04:50:00,BTCUSDT,73692.35100000,3123936666.65160000,1.36250979,1.25274598,1.49671223,1.94532379
2024-01-01 04:55:00,BTCUSDT,73702.37400000,3125055114.50868700,1.36529273,1.25148382,1.50152716,1.32662904
2024-01-01 05:00:00,BTCUSDT,73691.58300000,3126697056.69934460,1.36510484,1.25139269,1.50525727,2.03900760
2024-01-01 05:05:00,BTCUSDT,73658.88800000,3119840255.50339270,1.37156751,1.25189753,1.50987968,0.49398021
2024-01-01 05:10:00,BTCUSDT,73664.82000000,3121620412.32000000,1.37411874,1.25308755,1.51175316,0.65873159
2024-01-01 05:15:00,BTCUSDT,73672.21200000,3122781621.56591200,1.37329184,1.25273867,1.51089588,1.30697002
2024-01-01 05:20:00,BTCUSDT,73685.82400000,3123542079.36000000,1.37207307,1.25121254,1.50992861,1.25488216
2024-01-01 05:25:00,BTCUSDT,73676.58500000,3121551656.25550000,1.37298805,1.25146070,1.51143297,0.59282147
2024-01-01 05:30:00,BTCUSDT,73625.76300000,3116298769.89060000,1.37615139,1.25069003,1.51155063,0.34010302
2024-01-01 05:35:00,BTCUSDT,73627.78000000,3117702079.09800000,1.37576148,1.25089043,1.51079497,0.98782355
