create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2020-09-01 01:45:00,BTCUSDT,38528.22700000,447890638.87500000,1.16490549,1.22408178,1.34918794,0.75951225
2020-09-01 01:50:00,BTCUSDT,38502.24000000,448149902.65920000,1.16579771,1.22423210,1.35081794,1.69768070
2020-09-01 01:55:00,BTCUSDT,38466.22100000,447145970.06798000,1.17144993,1.22403121,1.35526177,1.15956368
2020-09-01 02:00:00,BTCUSDT,38442.48600000,447212212.37316081,1.17742177,1.22639559,1.35848058,1.52974639
2020-09-01 02:05:00,BTCUSDT,38419.75700000,446789794.93288670,1.17844311,1.22647823,1.35999154,0.65372350
2020-09-01 02:10:00,BTCUSDT,38446.63800000,447099797.96580000,1.17611003,1.22646256,1.35862215,3.07836203
2020-09-01 02:15:00,BTCUSDT,38449.40900000,447702389.02008465,1.17612788,1.22705038,1.35771585,2.23888065
2020-09-01 02:20:00,BTCUSDT,38481.61500000,447478457.41755000,1.17665521,1.22597869,1.36045651,0.53583994
2020-09-01 02:25:00,BTCUSDT,38425.49000000,446973364.07447477,1.17508971,1.22709924,1.35940803,1.78691520
2020-09-01 02:30:00,BTCUSDT,38434.86300000,446553149.67372000,1.17655853,1.22777314,1.35863598,0.38155024
2020-09-01 02:35:00,BTCUSDT,38398.58900000,446065272.82219000,1.17959856,1.22817793,1.36044792,1.46191874
2020-09-01 02:40:00,BTCUSDT,38457.21900000,447085937.77326000,1.17981734,1.22770997,1.35953160,2.23659178
2020-09-01 02:45:00,BTCUSDT,38506.08200000,447630892.88508000,1.17305684,1.22744013,1.35444503,2.25003417
2020-09-01 02:50:00,BTCUSDT,38529.94800000,447937616.46360000,1.17402985,1.22745973,1.35606778,0.56815919
2020-09-01 02:55:00,BTCUSDT,38490.21900000,447923865.20584114,1.18305643,1.22831282,1.36402954,0.93865708
2020-09-01 03:00:00,BTCUSDT,38463.25300000,447554950.21523000,1.18343816,1.22761867,1.36542115,0.84389251
2020-09-01 03:05:00,BTCUSDT,38471.53700000,447228539.90204000,1.18334081,1.22673144,1.36581251,1.51462997
2020-09-01 03:10:00,BTCUSDT,38473.87900000,447363116.50456567,1.18177745,1.22744043,1.36490045,2.68337741
2020-09-01 03:15:00,BTCUSDT,38607.62300000,449575989.66005550,1.18237491,1.22727405,1.36503423,1.37803188
2020-09-01 03:20:00,BTCUSDT,38644.78500000,449703179.87940000,1.18723787,1.22971278,1.36863200,0.75894590
2020-09-01 03:25:00,BTCUSDT,38636.11000000,449753297.48250000,1.19141914,1.23039266,1.37308545,1.10131277
2020-09-01 03:30:00,BTCUSDT,38332.90900000,447709534.26731783,1.18455971,1.23222919,1.37203615,2.45700841
2020-09-01 03:35:00,BTCUSDT,38331.76800000,448365738.71062604,1.17498116,1.22935154,1.36621521,1.59215246
2020-09-01 03:40:00,BTCUSDT,38404.72900000,449255674.51589427,1.17439061,1.23150359,1.36544603,0.97529651
2020-09-01 03:45:00,BTCUSDT,38345.88600000,448333809.62016174,1.17464619,1.23207342,1.36198470,0.73852286
2020-09-01 03:50:00,BTCUSDT,38405.00200000,448850588.14185207,1.18937330,1.23581260,1.37320115,0.83881576
2020-09-01 03:55:00,BTCUSDT,38328.65000000,447949617.90159667,1.18573372,1.23705819,1.37020100,0.27661850
2020-09-01 04:00:00,BTCUSDT,38324.25600000,448292189.75965041,1.18592358,1.23830155,1.36952826,1.25713067
2020-09-01 04:05:00,BTCUSDT,38319.38600000,447976543.41296498,1.18652771,1.23905369,1.36810272,1.17218102
2020-09-01 04:10:00,BTCUSDT,38435.46500000,449946853.25343880,1.18846503,1.23906542,1.36897430,3.09115878
2020-09-01 04:15:00,BTCUSDT,38389.41400000,449794139.79113829,1.19337688,1.23953207,1.37581247,1.95568398
2020-09-01 04:20:00,BTCUSDT,38399.73000000,450298208.54268297,1.19747067,1.24051829,1.38070307,1.49750905
2020-09-01 04:25:00,BTCUSDT,38358.94500000,449106911.64945000,1.19710145,1.24046999,1.37697397,0.63814743
2020-09-01 04:30:00,BTCUSDT,38368.68400000,449143739.53370821,1.20195838,1.24154195,1.38047894,1.16387729
2020-09-01 04:35:00,BTCUSDT,38411.52100000,449463920.11239036,1.20220083,1.24169497,1.38075939,1.08210282
2020-09-01 04:40:00,BTCUSDT,38377.16200000,449272628.09083626,1.20152672,1.24283258,1.37919284,1.13697196
2020-09-01 04:45:00,BTCUSDT,38393.84500000,449482118.55330000,1.20338983,1.24347345,1.37890708,1.01220393
2020-09-01 04:50:00,BTCUSDT,38453.18200000,449849164.00884000,1.20259344,1.24378046,1.37756077,0.49567095
2020-09-01 04:55:00,BTCUSDT,38469.29200000,450122235.02300623,1.20525351,1.24367383,1.38032056,0.50495831
2020-09-01 05:00:00,BTCUSDT,38537.63400000,450934515.83050601,1.20280573,1.24400910,1.37800614,1.07972435
2020-09-01 05:05:00,BTCUSDT,38533.71800000,451660259.41006000,1.20521819,1.24531568,1.37950021,1.05643138
2020-09-01 05:10:00,BTCUSDT,38495.82800000,451094112.50400000,1.20726496,1.24535238,1.37914993,0.47672224
2020-09-01 05:15:00,BTCUSDT,38516.18100000,451512094.36146000,1.21622861,1.24510554,1.38565686,2.26531544
2020-09-01 05:20:00,BTCUSDT,38529.55300000,451453058.26557584,1.21333740,1.24528570,1.38498149,0.65760635
2020-09-01 05:25:00,BTCUSDT,38455.71400000,450511178.36034907,1.21054235,1.24656333,1.38155534,2.24926275
2020-09-01 05:30:00,BTCUSDT,38600.41300000,451694019.28725914,1.20993297,1.24646362,1.38459913,0.61484567
